transaction_id,dacd te,customer_id,amount,type,description,Usia,Jenis_Kelamin,Pendapatan_Bulanan,Saldo_Rekening,Riwayat_Pinjaman,Frekuensi_Transaksi,Jenis_Transaksi_Favorit,Minat_Investasi,Produk_Direkomendasikan
3,2019-09-02,110,7969.68,debit,Direction wife job pull determine leader move college.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
58,2022-03-24,106,2052.33,credit,Maybe provide happy impact another forget.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
435,2020-11-29,103,8725.1,credit,Care media believe local central.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
476,2019-06-08,101,3370.81,debit,Unit health language player bring their then.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
535,2022-06-02,104,475.25,credit,Better a quite current material.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
604,2022-06-26,107,4496.49,credit,Area nothing three who.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
713,2019-08-19,105,3983.95,credit,Reduce fire our difficult game magazine must.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
748,2021-03-29,107,2909.34,transfer,Against program key magazine.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
770,2023-02-21,104,1104.02,transfer,Page really rather debate.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
865,2020-04-25,110,7205.82,credit,Pick become feel position another record.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
1044,2021-11-30,103,8529.38,transfer,Control whether weight lot mind.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
1085,2022-05-13,110,5309.46,transfer,Pick put threat.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
1329,2021-10-31,105,5704.54,credit,May interesting total win.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
1393,2018-11-27,105,4397.45,transfer,Customer president important trouble degree land sing.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
1641,2020-04-11,106,3455.28,transfer,Stage inside draw theory.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
1683,2020-11-26,109,1602.69,credit,Number current with.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
1724,2022-11-29,108,8916.21,credit,Good figure last parent.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
1765,2022-04-30,103,3211.1,debit,We draw near get fall radio.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
1828,2019-05-30,104,8403.46,transfer,Matter set provide city article Democrat herself feel.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
1886,2020-09-26,101,5468.56,transfer,Surface kid owner book choice response test trade.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
1931,2021-06-22,102,354.92,credit,Carry life water majority west trial woman.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
2046,2021-08-31,102,899.56,debit,Spring day second similar listen money late.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
2542,2019-08-22,109,8655.51,debit,Rich at we traditional.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
2791,2019-12-20,103,6226.64,credit,Total rock firm be would.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
2966,2018-09-07,105,8022.25,debit,Low or themselves once.,28,Pria,6000000,3000000,0,18,E-Wallet,0,Tabungan Reguler
2987,2020-12-21,109,7125.78,transfer,Possible kid write all public learn oil provide.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
3210,2021-07-28,104,6086.17,transfer,Minute street Congress.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
3274,2020-09-10,110,9126.08,credit,Word anyone realize knowledge half remember control.,38,Wanita,14000000,18000000,1,35,Kartu Kredit,1,Kartu Kredit
3393,2018-04-09,107,8411.98,credit,Hold financial pull tax economy third.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
3521,2019-01-20,102,4775.54,debit,Professor these begin article even.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
3569,2018-09-14,102,3917.99,transfer,Wrong peace want test.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
3702,2020-09-26,109,1466.41,transfer,Yes likely condition have message next stage.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
3818,2021-05-28,106,4501.62,debit,Life color last more everybody.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
4119,2021-10-10,107,2698.43,debit,Develop modern author forward.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
4126,2020-12-07,103,6324.43,debit,Movement hold item.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
4508,2021-01-01,108,5792.02,credit,Operation industry responsibility can within tend traditional final.,33,Wanita,9000000,6000000,0,22,Transfer Bank,0,Tabungan Digital
4534,2022-12-19,109,7319.54,transfer,Type explain long.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
4569,2021-04-01,107,7524.19,credit,Against pull wife offer.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
4591,2021-05-11,106,4642.59,credit,School society report.,45,Wanita,17000000,15000000,1,45,Investasi,1,Deposito
4641,2019-11-24,109,8911.83,transfer,Issue research performance.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
4732,2018-11-26,103,2138.58,transfer,White western plan traditional dog record.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
4751,2019-12-25,104,6938.79,debit,Whose speak per receive back throughout listen take.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
4775,2019-10-13,109,5462.87,credit,Evidence young room price perform idea.,29,Pria,7500000,4000000,1,20,E-Wallet,0,Tabungan Reguler
4832,2019-07-03,103,5624.29,credit,White their artist single.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
4866,2022-07-19,101,6016.99,debit,Relate high interview store friend most.,25,Pria,5000000,2000000,0,15,E-Wallet,0,Tabungan Reguler
4998,2022-09-12,102,8829.46,credit,During possible get the magazine thing seek land.,40,Wanita,15000000,12000000,1,40,Kartu Kredit,1,Kartu Kredit
5026,2020-11-02,107,7400.71,debit,Blue certainly vote.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
5038,2023-03-27,103,2713.76,transfer,Wrong suggest result risk water down price.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
5082,2019-07-10,103,6831.48,debit,Every stock compare hair information win type.,35,Pria,8000000,5000000,1,25,Transfer Bank,0,Tabungan Digital
5285,2022-02-16,107,479.2,debit,Health Congress art three so forget thing.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
5351,2020-09-22,107,1125.1,credit,Family push push whether lawyer choice.,60,Pria,12000000,20000000,1,30,Deposito,1,Reksa Dana
5387,2022-06-14,104,8554.11,debit,Even language break decade young or.,50,Wanita,20000000,25000000,0,50,Investasi,1,Deposito
